tax_code,name,name_slug,company_type,address,district,industry_raw,keyword
313641192,CÔNG TY CỔ PHẦN VIETSOFTWARE B.LINES,CÔNG TY CỔ PHẦN VIETSOFTWARE B,Công ty cổ phần,"1/4 Hồ Bá Phấn, Tổ 3, Khu phố 4, Phường Phước Long A, Quận 9, Thành phố Hồ Chí Minh, Việt Nam",Quận 9,"1812: Dịch vụ liên quan đến in-;1820: Sao chép bản ghi các loại-;5310: Bưu chính-Chi tiết: dịch vụ bưu chính trong phạm vi nội tỉnh, liên tỉnh;4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và ",software
313800364,CÔNG TY TNHH SMYRNA SOFTWARE,CÔNG TY TNHH SMYRNA SOFTWARE,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"B.15.05, Saigon Royal, 35 Bến Vân Đồn, Phường 12, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Quận 4,"7020: Hoạt động tư vấn quản lý-Chi tiết: Dịch vụ tư vấn quản lý 
(Doanh nghiệp không được cung cấp: dịch vụ trọng tài hòa giải đối với tranh chấp thương mại giữa các thương nhân, dịch vụ pháp lý, dịch",software
316493520,CÔNG TY TNHH INTECK SOFTWARE,CÔNG TY TNHH INTECK SOFTWARE,Công ty trách nhiệm hữu hạn một thành viên,"346/38/8 Phan Văn Trị , Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"4651: Bán buôn máy vi tính, thiết bị ngoại vi và phần mềm-;4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-;4741: Bán lẻ máy vi tính, thiết bị ngoại vi, phần mềm và thiết bị viễn thông trong ",software
313963672,CÔNG TY TNHH SOFT WARE KK VAT,CÔNG TY TNHH SOFT WARE KK VAT,Công ty trách nhiệm hữu hạn một thành viên,"1017/46A Lê Văn Lương, Ấp 3, Xã Phước Kiển, Huyện Nhà Bè, Thành phố Hồ Chí Minh, Việt Nam",,8299: Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu-Chi tiết: Khắc dấu; cung cấp dịch vụ chứng thực chữ ký số công cộng; trung gian cung cấp dịch vụ giải pháp hóa đơn điện tử,software
313998121,CÔNG TY TNHH CACTUS SOFTWARE SOLUTIONS,CÔNG TY TNHH CACTUS SOFTWARE S,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"51/16 Bãi Sậy, Phường 01, Quận 6, Thành phố Hồ Chí Minh, Việt Nam",Quận 6,5820: Xuất bản phần mềm-Chi tiết: Sản xuất phần mềm;6201: Lập trình máy vi tính-;6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-;6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác ,software
313981537,CÔNG TY TNHH SAIGON SOFTWARE APPLICATION SSA,CÔNG TY TNHH SAIGON SOFTWARE A,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"776/56 Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Thành phố Hồ Chí Minh, Việt Nam",Quận Gò Vấp,"6311: Xử lý dữ liệu, cho thuê và các hoạt động liên quan-Chi tiết: Cung cấp hạ tầng thông tin cho thuê, dịch vụ xử lý dữ liệu và và các hoạt động có liên quan; tư vấn, cung cấp dịch vụ cho thuê trung ",software
313795146,CÔNG TY TNHH PLANET Q SOFTWARE,CÔNG TY TNHH PLANET Q SOFTWARE,Công ty trách nhiệm hữu hạn một thành viên,"Số 41 Đường 377, Ấp Bàu Tre 2, Xã Tân An Hội, Huyện Củ Chi, Thành phố Hồ Chí Minh, Việt Nam",,"1322: Sản xuất hàng may sẵn (trừ trang phục)-(không hoạt động tại trụ sở);1410: May trang phục (trừ trang phục từ da lông thú)-;1512: Sản xuất vali, túi xách và các loại tương tự, sản xuất yên đệm-Chi",software
314251237,CÔNG TY TNHH ASIA ODC SOFTWARE SERVICES,CÔNG TY TNHH ASIA ODC SOFTWARE,Công ty trách nhiệm hữu hạn một thành viên,"486/5 Lê Quang Định, Phường 11, Quận Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam",Quận Bình Thạnh,"5610: Nhà hàng và các dịch vụ ăn uống phục vụ lưu động-;5820: Xuất bản phần mềm-Chi tiết: Sản xuất, gia công phần mềm và các ứng dụng dùng cho máy vi tính và các thiết bị di động.;6110: Hoạt động viễn",software
314344065,CÔNG TY TNHH ATP SOFTWARE,CÔNG TY TNHH ATP SOFTWARE,Công ty trách nhiệm hữu hạn hai thành viên trở lên,"86/4B Đường Số 3, Khu Phố 8, Phường Trường Thọ, Quận Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",Quận Thủ Đức,"6209: Hoạt động dịch vụ công nghệ thông tin và dịch vụ khác liên quan đến máy vi tính-;6311: Xử lý dữ liệu, cho thuê và các hoạt động liên quan-;6312: Cổng thông tin-Chi tiết: Thiết lập trang thông ti",software
314367217,CÔNG TY TNHH CTEQ SOFTWARE,CÔNG TY TNHH CTEQ SOFTWARE,Công ty trách nhiệm hữu hạn một thành viên,"352/4 Nguyễn Tất Thành, Phường 13, Quận 4, Thành phố Hồ Chí Minh, Việt Nam",Quận 4,"5820: Xuất bản phần mềm-Chi tiết: Sản xuất phần mềm;6201: Lập trình máy vi tính-;7020: Hoạt động tư vấn quản lý-(Trừ tư vấn tài chính, kế toán); 4690: Bán buôn tổng hợp-Chi tiết: Bán buôn thùng contai",software
314382751,CÔNG TY TNHH CODELYNX SOFTWARE SERVICES,CÔNG TY TNHH CODELYNX SOFTWARE,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 6 và tầng 7, Tòa nhà Mê Linh Point, số 02 Ngô Đức Kế, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",Quận 1,"6202: Tư vấn máy vi tính và quản trị hệ thống máy vi tính-chi tiết: Dịch vụ thực hiện phần mềm bao gồm:
 Dịch vụ tư vấn, phát triển và thực hiện phần mềm
Dịch vụ thiết kế hệ thống; Dịch vụ lập trình; ",software
314449727,CÔNG TY TNHH MEDIASTEP SOFTWARE VIỆT NAM,CÔNG TY TNHH MEDIASTEP SOFTWAR,Công ty trách nhiệm hữu hạn một thành viên,"Tầng 11, Vietjet Plaza, Số 60A Đường Trường Sơn, Phường 2, Quận Tân Bình, Thành phố Hồ Chí Minh, Việt Nam",Quận Tân Bình,"4652: Bán buôn thiết bị và linh kiện điện tử, viễn thông-Chi tiết: Bán buôn thiết bị báo động;4641: Bán buôn vải, hàng may mặc, giày dép-;6201: Lập trình máy vi tính-Chi tiết: Dịch vụ lập trình;4719: ",software
